time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.9493772597e-08,8.05732107491e-07,10.0039310937,0.000598132232013,6.28302070667,0.0,1.10549835561e-05,6.41987322073e-05,0.131029654796,0.0247869731462,-0.00888884717525,0.0,446.9844890619961,446.2596967972136,445.63960822868,447.66067856720616
0.12000000000000001,7.01641163023e-06,2.50355925283e-05,10.0175469286,0.00198142274667,6.28222611615,0.0,0.000294445050539,0.000909639154207,0.322796029548,0.0193441041962,-0.0238058652477,0.0,466.7153487547079,465.54994228058786,464.35874159164746,463.931672735947
0.18,5.07492585467e-05,0.000127608426046,10.0411399199,0.00303773732556,6.28133520546,0.0,0.00128395656009,0.00262939266184,0.463589345765,0.0138788423333,-0.00119500922125,0.0,449.47732351160306,451.30579658454343,449.4058000146063,448.9625915789344
0.23999999999999996,0.000166676526992,0.000352271180621,10.0722136132,0.00401461676906,6.28135950629,0.0,0.00258245908258,0.00495305379343,0.572151453916,0.0206984862039,0.00342727377826,0.0,439.72705219075283,440.10972669627114,439.50519570735514,440.0698820971908
0.3,0.000360737541581,0.000742789837286,10.110831031,0.00478399959721,6.28111560452,0.0,0.00388006757257,0.00818230957148,0.715016298268,-0.0116459441299,-0.026527759764,0.0,452.1224487596425,449.7029470937507,451.70931703228763,449.09376743627837
0.36000000000000004,0.000642182682481,0.00133027193775,10.15673302,0.00443082860248,6.2797311939,0.0,0.00565227948722,0.0113484537356,0.814983425551,0.0036770563164,-0.0169329314851,0.0,436.6622094500719,437.46170686341577,437.16609686948607,438.4409330145573
0.4200000000000001,0.00106416873213,0.00211293230195,10.2107157324,0.0047178356532,6.27834552104,0.0,0.00854337924112,0.0147682213417,0.984308920914,0.00690929075697,-0.03975706755,0.0,460.6089720647046,458.80053338137355,458.2988980732629,458.5556121617157
0.48000000000000015,0.00168299279492,0.00309579812696,10.272295212,0.00516613887046,6.27543563217,0.0,0.0123350404976,0.0180366000607,1.06826366465,0.00857352531964,-0.0784407960706,0.0,434.8015253207908,431.546885221282,432.3062692110839,432.44634927650804
0.5400000000000001,0.00256518107975,0.00426459421383,10.3352047228,0.00538248833916,6.27052819463,0.0,0.0174617829322,0.0209552135211,1.02875286836,-0.00886412109546,-0.0895057901116,0.0,391.800632401618,390.7641492375868,392.20329429646574,390.58051895112203
0.6000000000000002,0.00392735555403,0.00564375981223,10.4022991347,0.00502407017551,6.26489237055,0.0,0.0285649928947,0.024966019867,1.20754672092,-0.000742166572235,-0.104694527689,0.0,462.90149797626947,461.6976150053992,462.0226858993827,462.66261570288515
0.6600000000000003,0.00599620115373,0.00723341808736,10.4753357561,0.00448463280954,6.25821289866,0.0,0.0409751030531,0.0280052366539,1.22697447543,-0.0356300330706,-0.129836950256,0.0,413.425215676505,411.1916294410458,413.3910583779164,410.3056461540752
0.7200000000000003,0.00906062487273,0.00900878983927,10.5542814442,0.00306899826341,6.25127742663,0.0,0.0619917052626,0.0309792801535,1.40432491204,-0.00656439414208,-0.0964244613466,0.0,460.6879013461799,463.30989197908895,461.5935462292948,463.88118527230307
0.7800000000000004,0.0135478282875,0.0109373934012,10.6441589933,0.0028092340409,6.24565797628,0.0,0.0882280982943,0.0332695323554,1.59132870202,-0.000197043672856,-0.0886332983513,0.0,464.3581661637712,464.9618493587437,466.57267581152564,467.0695620793908
0.8400000000000004,0.019503218313,0.0129820411054,10.739197146,0.00301606213246,6.24156369094,0.0,0.110671445088,0.034894395094,1.57661368547,0.00988826894967,-0.044037718187,0.0,399.3696255032794,403.41138599952535,401.37145145915434,402.2855912359385
0.9000000000000005,0.0270516812206,0.0151431097068,10.8377060056,0.00362953869635,6.23939471421,0.0,0.141188126552,0.0372048399258,1.70681652623,0.0108889471593,-0.0237922810807,0.0,447.4310265611716,449.07543942073676,449.7444184945894,449.8253282599558
0.9600000000000005,0.0363564600164,0.0174464974917,10.9413708717,0.00450094439724,6.23808689841,0.0,0.16909505447,0.0396464531395,1.74860784891,0.0209487976385,-0.0180786759627,0.0,421.2264194540599,421.7201514651387,420.4210525496216,421.29162316197124
1.0200000000000005,0.0474805200673,0.0199273957136,11.050225251,0.0056379101676,6.23722587686,0.0,0.201799241982,0.0431770667747,1.87965703797,0.0146169004055,-0.00777815457289,0.0,449.0396520986736,449.87451132704035,450.516127929014,450.0038508220897
1.0800000000000005,0.0604227840869,0.0226235679846,11.1634705397,0.00696257341926,6.2362566622,0.0,0.229661670131,0.0467964364611,1.89515480987,0.0338995682639,-0.0435893308398,0.0,414.9523848319281,411.7967493977261,411.83095337225257,413.53297427520846
1.1400000000000006,0.0752509913162,0.0255935111099,11.2816351585,0.00872497058125,6.23337467178,0.0,0.264896185752,0.0524090182367,2.04339257471,0.0182925892564,-0.0588609098087,0.0,456.5481709633007,455.32672395911266,456.0536637751898,454.80567431966534
1.2000000000000006,0.0923846337762,0.0289573558158,11.4111512964,0.00980129198907,6.22944064728,0.0,0.306647655027,0.0598467641169,2.27335360867,0.0172213738257,-0.0844108324622,0.0,482.2746962217931,480.33804254514627,479.9126968669155,479.83129392694
1.2600000000000007,0.111970160412,0.0327651683234,11.5515974767,0.0110225508141,6.22415935178,0.0,0.346739016836,0.0671985448371,2.40787280686,0.0259803623537,-0.0964442238368,0.0,452.67857199000804,451.70287588719367,453.5537575373533,454.2566271825504
